"","datetime","Org","NH4","SO4","NO3","Chl","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl"
"2219","2026-04-03 10:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2220","2026-04-03 11:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2221","2026-04-03 12:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2222","2026-04-03 13:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2223","2026-04-03 14:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2224","2026-04-03 15:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2225","2026-04-03 16:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2226","2026-04-03 17:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2227","2026-04-03 18:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2228","2026-04-03 19:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2229","2026-04-03 20:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2230","2026-04-03 21:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2231","2026-04-03 22:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2232","2026-04-03 23:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2233","2026-04-04 00:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2234","2026-04-04 01:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2235","2026-04-04 02:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2236","2026-04-04 03:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2237","2026-04-04 04:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2238","2026-04-04 05:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2239","2026-04-04 06:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2240","2026-04-04 07:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2241","2026-04-04 08:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2242","2026-04-04 09:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2243","2026-04-04 10:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2244","2026-04-04 11:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2245","2026-04-04 12:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2246","2026-04-04 13:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2247","2026-04-04 14:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2248","2026-04-04 15:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2249","2026-04-04 16:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2250","2026-04-04 17:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2251","2026-04-04 18:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2252","2026-04-04 19:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2253","2026-04-04 20:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2254","2026-04-04 21:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2255","2026-04-04 22:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2256","2026-04-04 23:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2257","2026-04-05 00:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2258","2026-04-05 01:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2259","2026-04-05 02:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2260","2026-04-05 03:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2261","2026-04-05 04:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2262","2026-04-05 05:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2263","2026-04-05 06:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2264","2026-04-05 07:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2265","2026-04-05 08:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2266","2026-04-05 09:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2267","2026-04-05 10:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2268","2026-04-05 11:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2269","2026-04-05 12:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2270","2026-04-05 13:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2271","2026-04-05 14:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2272","2026-04-05 15:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2273","2026-04-05 16:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2274","2026-04-05 17:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2275","2026-04-05 18:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2276","2026-04-05 19:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2277","2026-04-05 20:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2278","2026-04-05 21:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2279","2026-04-05 22:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2280","2026-04-05 23:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2281","2026-04-06 00:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2282","2026-04-06 01:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2283","2026-04-06 02:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2284","2026-04-06 03:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2285","2026-04-06 04:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2286","2026-04-06 05:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2287","2026-04-06 06:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2288","2026-04-06 07:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2289","2026-04-06 08:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2290","2026-04-06 09:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2291","2026-04-06 10:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2292","2026-04-06 11:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2293","2026-04-06 12:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2294","2026-04-06 13:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2295","2026-04-06 14:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2296","2026-04-06 15:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2297","2026-04-06 16:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2298","2026-04-06 17:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2299","2026-04-06 18:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2300","2026-04-06 19:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2301","2026-04-06 20:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2302","2026-04-06 21:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2303","2026-04-06 22:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2304","2026-04-06 23:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2305","2026-04-07 00:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2306","2026-04-07 01:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2307","2026-04-07 02:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2308","2026-04-07 03:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2309","2026-04-07 04:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2310","2026-04-07 05:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2311","2026-04-07 06:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2312","2026-04-07 07:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2313","2026-04-07 08:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2314","2026-04-07 09:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2315","2026-04-07 10:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2316","2026-04-07 11:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2317","2026-04-07 12:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2318","2026-04-07 13:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2319","2026-04-07 14:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2320","2026-04-07 15:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2321","2026-04-07 16:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2322","2026-04-07 17:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2323","2026-04-07 18:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2324","2026-04-07 19:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2325","2026-04-07 20:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2326","2026-04-07 21:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2327","2026-04-07 22:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2328","2026-04-07 23:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2329","2026-04-08 00:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2330","2026-04-08 01:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2331","2026-04-08 02:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2332","2026-04-08 03:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2333","2026-04-08 04:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2334","2026-04-08 05:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2335","2026-04-08 06:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2336","2026-04-08 07:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2337","2026-04-08 08:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2338","2026-04-08 09:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2339","2026-04-08 10:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2340","2026-04-08 11:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2341","2026-04-08 12:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2342","2026-04-08 13:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2343","2026-04-08 14:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2344","2026-04-08 15:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2345","2026-04-08 16:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2346","2026-04-08 17:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2347","2026-04-08 18:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2348","2026-04-08 19:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2349","2026-04-08 20:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2350","2026-04-08 21:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2351","2026-04-08 22:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2352","2026-04-08 23:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2353","2026-04-09 00:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2354","2026-04-09 01:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2355","2026-04-09 02:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2356","2026-04-09 03:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2357","2026-04-09 04:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2358","2026-04-09 05:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2359","2026-04-09 06:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2360","2026-04-09 07:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2361","2026-04-09 08:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2362","2026-04-09 09:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2363","2026-04-09 10:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2364","2026-04-09 11:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2365","2026-04-09 12:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2366","2026-04-09 13:00:00",0.190755303529937,0.16373818759325,0.0682684161806984,0.0460648601692656,NA,"1a","1a","1a","1a","0a"
"2367","2026-04-09 14:00:00",0.327672287053522,0.133317517760249,0.0989010697500947,0.0187570179615609,NA,"1a","1a","1a","1a","0a"
"2368","2026-04-09 15:00:00",0.368213213899993,0.00636982863215401,0.0989479527498152,0.0707435247131278,NA,"1a","1a","1a","1a","0a"
"2369","2026-04-09 16:00:00",NA,0.0236589983378424,0.0371617206204386,0.0330934282974769,NA,"0a","1a","1a","1a","0a"
"2370","2026-04-09 17:00:00",0.262518460503848,NA,0.0134780572107439,0.00986941549177071,NA,"1a","0a","1a","1a","0a"
"2371","2026-04-09 18:00:00",0.26838202973593,0.0525507685084616,0.0536517047142253,0.0347819199864907,NA,"1a","1a","1a","1a","0a"
"2372","2026-04-09 19:00:00",0.410970748534033,0.00543311763797367,0.0740685376084019,0.0689283160065329,NA,"1a","1a","1a","1a","0a"
"2373","2026-04-09 20:00:00",0.460540367965476,0.0847781374020897,0.0906197913185602,0.0795951230752024,NA,"1a","1a","1a","1a","0a"
"2374","2026-04-09 21:00:00",0.427267523188565,0.00883821771291392,0.106614663031251,0.0661925255392388,NA,"1a","1a","1a","1a","0a"
"2375","2026-04-09 22:00:00",0.432457967808221,0.0129014688623014,0.0721309352716241,0.076310188159044,NA,"1a","1a","1a","1a","0a"
"2376","2026-04-09 23:00:00",0.517198051043473,0.0799064989154984,0.0761567749848095,0.0896344174087809,NA,"1a","1a","1a","1a","0a"
"2377","2026-04-10 00:00:00",0.358841189524677,0.0515450462270493,0.0795173462418451,0.066038624193921,NA,"1a","1a","1a","1a","0a"
"2378","2026-04-10 01:00:00",0.320906091414457,0.0171188300040018,0.103567911598444,0.0687950837379039,NA,"1a","1a","1a","1a","0a"
"2379","2026-04-10 02:00:00",0.379270183702125,NA,0.0901496843358868,0.0391940698385329,NA,"1a","0a","1a","1a","0a"
"2380","2026-04-10 03:00:00",0.275300894321927,0.0366389697609022,0.0824494029339358,0.051999370387926,NA,"1a","1a","1a","1a","0a"
"2381","2026-04-10 04:00:00",0.226065871992921,0.0426289529734144,0.0780708353261579,0.0615952206995889,NA,"1a","1a","1a","1a","0a"
"2382","2026-04-10 05:00:00",0.434962181943285,0.0807490652357676,0.0759151483385571,0.0589179084284806,NA,"1a","1a","1a","1a","0a"
"2383","2026-04-10 06:00:00",0.168771054389677,NA,0.113832330444356,0.0911616479773789,NA,"1a","0a","1a","1a","0a"
"2384","2026-04-10 07:00:00",0.0329362345308349,0.119077494396518,0.12617980657683,0.0997259685308483,NA,"1a","1a","1a","1a","0a"
"2385","2026-04-10 08:00:00",0.456195357593478,0.0831130350187207,0.087287221160946,0.157885893281594,NA,"1a","1a","1a","1a","0a"
"2386","2026-04-10 09:00:00",0.238784237756541,0.148815883900764,0.0631991176684568,0.0805448783416435,NA,"1a","1a","1a","1a","0a"
"2387","2026-04-10 10:00:00",0.581568561673004,NA,0.107137719813995,0.0701770472544276,NA,"1a","0a","1a","1a","0a"
"2388","2026-04-10 11:00:00",0.389942312692224,0.0884837594405314,0.0487858153532288,0.0707313173350388,NA,"1a","1a","1a","1a","0a"
"2389","2026-04-10 12:00:00",0.351964192452603,0.0418174077274742,0.0657689787453705,0.0849761012836215,NA,"1a","1a","1a","1a","0a"
"2390","2026-04-10 13:00:00",0.477904412175347,NA,0.0521365107700954,0.122620590449709,NA,"1a","0a","1a","1a","0a"
"2391","2026-04-10 14:00:00",0.306482802028294,0.200325736854586,0.0700849037270052,0.109790100318569,NA,"1a","1a","1a","1a","0a"
"2392","2026-04-10 15:00:00",0.339949082919046,0.235568892082496,0.0625198543508231,0.135367124885887,NA,"1a","1a","1a","1a","0a"
"2393","2026-04-10 16:00:00",0.416519359721699,0.0394921950470548,0.0816326549853993,0.121480463822058,NA,"1a","1a","1a","1a","0a"
"2394","2026-04-10 17:00:00",0.252708714960428,0.0165881477914882,0.122494075197306,0.0736912918096767,NA,"1a","1a","1a","1a","0a"
"2395","2026-04-10 18:00:00",0.537539683443587,0.138665030523839,0.0980224319537629,0.105623833834448,NA,"1a","1a","1a","1a","0a"
"2396","2026-04-10 19:00:00",0.817655707529584,0.036132394247902,0.115867752898502,0.120792548387892,NA,"1a","1a","1a","1a","0a"
"2397","2026-04-10 20:00:00",0.46927901306969,NA,0.112809660918009,0.0929355180586761,NA,"1a","0a","1a","1a","0a"
"2398","2026-04-10 21:00:00",0.454549082972703,0.101045799193577,0.118714738559482,0.0783346034502892,NA,"1a","1a","1a","1a","0a"
"2399","2026-04-10 22:00:00",0.557096904921693,0.0144081142708084,0.108716787203338,0.112744347298119,NA,"1a","1a","1a","1a","0a"
"2400","2026-04-10 23:00:00",0.385109435854262,0.075748903211106,0.106601937588772,0.0938446637997357,NA,"1a","1a","1a","1a","0a"
"2401","2026-04-11 00:00:00",0.470728372379306,0.0829046292463468,0.0667993632028187,0.107129990250361,NA,"1a","1a","1a","1a","0a"
"2402","2026-04-11 01:00:00",0.754370346314234,0.000223888339561371,0.0801207298912687,0.154083225284167,NA,"1a","1a","1a","1a","0a"
"2403","2026-04-11 02:00:00",0.684344371451634,0.138707014796608,0.0809788645012389,0.0921814288948178,NA,"1a","1a","1a","1a","0a"
"2404","2026-04-11 03:00:00",0.704672253296976,0.111819502166535,0.107560071923796,0.0916336179369099,NA,"1a","1a","1a","1a","0a"
"2405","2026-04-11 04:00:00",0.691170586540914,0.188982921970081,0.123888239865033,0.111945243355229,NA,"1a","1a","1a","1a","0a"
"2406","2026-04-11 05:00:00",0.838404568048743,0.199085016470509,0.109361766789859,0.126657156987399,0.00127550910527827,"1a","1a","1a","1a","1a"
"2407","2026-04-11 06:00:00",0.081760770389321,NA,0.0540037937588078,0.0249248329843439,NA,"1a","0a","1a","1a","0a"
"2408","2026-04-11 07:00:00",NA,NA,0.0199640895337602,0.016717246446557,NA,"0a","0a","1a","1a","0a"
"2409","2026-04-11 08:00:00",0.255331794761861,0.0146405456952638,0.0353093180763271,0.0176170574546433,NA,"1a","1a","1a","1a","0a"
"2410","2026-04-11 09:00:00",NA,0.186068866990136,0.0295194803899901,0.0356045065994165,NA,"0a","1a","1a","1a","0a"
"2411","2026-04-11 10:00:00",0.255339313637834,NA,0.0153093368271846,0.0253665290856262,NA,"1a","0a","1a","1a","0a"
"2412","2026-04-11 11:00:00",0.132087190335165,NA,0.013512572771985,0.017959942300966,NA,"1a","0a","1a","1a","0a"
"2413","2026-04-11 12:00:00",0.172022218072135,NA,0.0103486349612595,0.0104826646878464,NA,"1a","0a","1a","1a","0a"
"2414","2026-04-11 13:00:00",0.107564558581139,0.149260978159686,0.0226654100229941,0.0190017338876045,NA,"1a","1a","1a","1a","0a"
"2415","2026-04-11 14:00:00",0.144911461236131,NA,0.016348702584899,0.0200126017232225,NA,"1a","0a","1a","1a","0a"
"2416","2026-04-11 15:00:00",NA,0.0599647693894148,0.0788744168779759,0.0148966095694442,NA,"0a","1a","1a","1a","0a"
"2417","2026-04-11 16:00:00",0.399328699967579,0.00126289008975737,0.000764435877750342,0.0483366789722437,NA,"1a","1a","1a","1a","0a"
"2418","2026-04-11 17:00:00",0.257114564769914,NA,0.0140136291874973,0.0294316072807854,NA,"1a","0a","1a","1a","0a"
"2419","2026-04-11 18:00:00",0.280992705231002,NA,0.0176682683993273,0.0271371185530647,NA,"1a","0a","1a","1a","0a"
