"Date_UTC","Rain_Intensity","Total_Precip","Liquid_Precip","Solid_Precip","Precipitation.amount","Air_Temp","RH","Precipitation_amount","qc_flag_Rain_Intensity","qc_flag_Total_Precip","qc_flag_Liquid_Precip","qc_flag_Solid_Precip","qc_flag_Precipitation_amount","qc_flag_Air_Temp","qc_flag_RH","qc_flag_Relative_Humidity_pct"
2023-09-02 07:00:00,0,0,0,0,424.35,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 08:00:00,0,0,0,0,424.35,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 09:00:00,0,0,0,0,424.35,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 10:00:00,0,0,0,0,424.35,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 11:00:00,0,0,0,0,424.35,-9.9,99.5166666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 12:00:00,0,0,0,0,424.35,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 13:00:00,0,0,0,0,424.35,-9.9,98.8833333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 14:00:00,0,0,0,0,424.35,-9.9,99.35,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 15:00:00,0,0,0,0,424.35,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 16:00:00,0.0344166666666667,0.0344166666666667,0.000833333333333333,0.0199166666666667,424.375166666667,-7.80666666666667,99.1,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 17:00:00,0,0,0,0,424.39,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 18:00:00,0,0,0,0,424.39,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 19:00:00,0,0,0,0,424.39,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 20:00:00,0,0,0,0,424.39,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 21:00:00,0,0,0,0,424.39,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 22:00:00,0,0,0,0,424.39,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-02 23:00:00,0,0,0,0,424.39,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03,0,0,0,0,424.39,-9.9,99.9310344827586,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 01:00:00,0,0,0,0,424.39,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 02:00:00,0,0,0,0,424.39,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 03:00:00,0,0,0,0,424.39,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 04:00:00,0,0,0,0,424.39,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 05:00:00,0,0,0,0,424.39,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 06:00:00,0,0,0,0,424.39,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 07:00:00,0,0,0,0,424.39,-9.9,99.7,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 08:00:00,0.00325,0.00323333333333333,0,0,424.39,-9.42,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 09:00:00,0,0,0,0,424.39,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 10:00:00,0,0,0,0,424.39,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 11:00:00,0,0,0,0,424.39,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 12:00:00,0,0,0,0,424.39,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 13:00:00,0,0,0,0,424.39,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 14:00:00,0.0235,0.0235,0.00338333333333333,0.0201166666666667,424.3975,-8.93333333333333,99.4333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 15:00:00,0,0,0,0,424.42,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 16:00:00,0,0,0,0,424.42,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 17:00:00,0,0,0,0,424.42,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 18:00:00,0,0,0,0,424.42,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 19:00:00,0,0,0,0,424.42,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 20:00:00,0,0,0,0,424.42,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 21:00:00,0,0,0,0,424.42,-9.9,99.8666666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 22:00:00,0,0,0,0,424.42,-9.9,99.8166666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-03 23:00:00,0,0,0,0,424.42,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04,0,0,0,0,424.42,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 01:00:00,0,0,0,0,424.42,-9.9,99.7166666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 02:00:00,0,0,0,0,424.42,-9.9,99.8666666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 03:00:00,0,0,0,0,424.42,-9.9,99.6,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 04:00:00,0,0,0,0,424.42,-9.9,99.8166666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 05:00:00,0,0,0,0,424.42,-9.9,99.4833333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 06:00:00,0,0,0,0,424.42,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 07:00:00,0,0,0,0,424.42,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 08:00:00,8.33333333333333e-05,5e-05,5e-05,0,424.42,-9.9,99.2833333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 09:00:00,0.0045,0.0045,0,0,424.42,-9.375,99.8333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 10:00:00,0,0,0,0,424.42,-9.9,99.7166666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 11:00:00,0,0,0,0,424.42,-9.9,99.8666666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 12:00:00,0,0,0,0,424.42,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 13:00:00,0,0,0,0,424.42,-9.9,99.5666666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 14:00:00,0,0,0,0,424.42,-9.9,99.5166666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 15:00:00,0,0,0,0,424.42,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 16:00:00,0,0,0,0,424.42,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 17:00:00,0,0,0,0,424.42,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 18:00:00,0.0126666666666667,0.0126833333333333,0,0,424.4265,-9.17,99.7333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 19:00:00,0,0,0,0,424.43,-9.9,99.8833333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 20:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 21:00:00,0,0,0,0,424.43,-9.9,99.8333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 22:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-04 23:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 01:00:00,0,0,0,0,424.43,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 02:00:00,0,0,0,0,424.43,-9.9,99.3833333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 03:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 04:00:00,0,0,0,0,424.43,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 05:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 06:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 07:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 08:00:00,8.33333333333333e-05,0.000116666666666667,0.000116666666666667,0,424.43,-9.88833333333333,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 09:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 10:00:00,0,0,0,0,424.43,-9.9,99.7,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 11:00:00,0,0,0,0,424.43,-9.9,99.7666666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 12:00:00,8.33333333333333e-05,6.66666666666667e-05,6.66666666666667e-05,0,424.43,-9.89333333333333,99.4166666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 13:00:00,0.000333333333333333,0.000333333333333333,0.000333333333333333,0,424.43,-9.83333333333333,96.1833333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 14:00:00,0,0,0,0,424.43,-9.9,99.1166666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 15:00:00,0.000583333333333333,0.000566666666666667,0.000566666666666667,0,424.43,-9.77166666666667,97.45,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 16:00:00,0,0,0,0,424.43,-9.9,99.95,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 17:00:00,0,0,0,0,424.43,-9.9,99.8166666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 18:00:00,0,0,0,0,424.43,-9.9,99.8666666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 19:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 20:00:00,0,0,0,0,424.43,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 21:00:00,0,0,0,0,424.43,-9.9,99.7833333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 22:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-05 23:00:00,0,0,0,0,424.43,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 01:00:00,0,0,0,0,424.43,-9.9,99.6666666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 02:00:00,0,0,0,0,424.43,-9.9,99.75,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 03:00:00,0,0,0,0,424.43,-9.9,99.8666666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 04:00:00,0,0,0,0,424.43,-9.9,99.8666666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 05:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 06:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 07:00:00,0,0,0,0,424.43,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 08:00:00,0,0,0,0,424.43,-9.9,99.7833333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 09:00:00,0,0,0,0,424.43,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 10:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 11:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 12:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 13:00:00,0.00025,0.000216666666666667,0.000216666666666667,0,424.43,-9.71,99.45,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 14:00:00,0,0,0,0,424.43,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 15:00:00,0,0,0,0,424.43,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 16:00:00,0,0,0,0,424.43,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 17:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 18:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 19:00:00,0,0,0,0,424.43,-9.9,99.7666666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 20:00:00,0,0,0,0,424.43,-9.9,99.4166666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 21:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 22:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-06 23:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 01:00:00,0,0,0,0,424.43,-9.9,99.8666666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 02:00:00,0,0,0,0,424.43,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 03:00:00,0,0,0,0,424.43,-9.9,99.8666666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 04:00:00,0,0,0,0,424.43,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 05:00:00,0.0062,0.0155333333333333,0,0,424.430666666667,-9.21333333333333,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 06:00:00,0.0093,0,0,0,424.45,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 07:00:00,0.0154166666666667,0.0154166666666667,0,0,424.459666666667,-9.165,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 08:00:00,0,0,0,0,424.46,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 09:00:00,0,0,0,0,424.46,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 10:00:00,0,0,0,0,424.46,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 11:00:00,0,0,0,0,424.46,-9.9,99.5166666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 12:00:00,0,0,0,0,424.46,-9.9,99.8,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 13:00:00,0,0,0,0,424.46,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 14:00:00,0,0,0,0,424.46,-9.9,99.8,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 15:00:00,0,0,0,0,424.46,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 16:00:00,0.00191666666666667,0.00193333333333333,0,0,424.468833333333,-9.45666666666667,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 17:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 18:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 19:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 20:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 21:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 22:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-07 23:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 01:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 02:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 03:00:00,0,0,0,0,424.47,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 04:00:00,0,0,0,0,424.47,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 05:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 06:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 07:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 08:00:00,0.000833333333333333,0.000833333333333333,0,0,424.47,-9.56666666666667,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 09:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 10:00:00,0.00675,0.00671666666666667,0,0,424.47,-9.33333333333333,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 11:00:00,0,0,0,0,424.47,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 12:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 13:00:00,0,0,0,0,424.47,-9.9,99.75,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 14:00:00,0,0,0,0,424.47,-9.9,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 15:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 16:00:00,0,0,0,0,424.47,-9.9,99.8666666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 17:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 18:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 19:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 20:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 21:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 22:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-08 23:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 01:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 02:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 03:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 04:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 05:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 06:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 07:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 08:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 09:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 10:00:00,0,0,0,0,424.47,-9.9,99.8666666666667,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 11:00:00,0,0,0,0,424.47,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 12:00:00,0.0268333333333333,0.0268333333333333,0.00116666666666667,0.0256666666666667,424.482333333333,-8.36666666666667,99.9333333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 13:00:00,0,0,0,0,424.5,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 14:00:00,0,0,0,0,424.5,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 15:00:00,0,0,0,0,424.5,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 16:00:00,0,0,0,0,424.5,-9.9,99.9,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 17:00:00,0,0,0,0,424.5,-9.9,99.5833333333333,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 18:00:00,0,0,0,0,424.5,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
2023-09-09 19:00:00,0,0,0,0,424.5,-9.9,100,NA,"1b","1b","1b","1b","1b","1b",1,"b"
